10g: links: 371g; rechts: 127g, 127g, 127g
20g: naechtes Ergebnis: 19g: links: 371g, 371g, 371g, 371g, 371g, 42g, 42g, 42g; rechts: 2000g
30g: naechtes Ergebnis: 29g: links: 371g, 371g, 371g, 371g, 371g, 371g, 42g, 42g, 42g; rechts: 2000g, 127g, 127g, 127g
40g: naechtes Ergebnis: 42g: links: /; rechts: 42g
50g: naechtes Ergebnis: 51g: links: 371g, 371g, 371g, 371g, 42g, 42g, 127g, 127g, 127g; rechts: 2000g
60g: links: 371g, 371g, 371g, 371g, 371g, 127g; rechts: 2000g, 42g
70g: links: 371g, 371g, 371g, 371g, 371g, 371g; rechts: 2000g, 42g, 127g, 127g
80g: naechtes Ergebnis: 84g: links: /; rechts: 42g, 42g
90g: naechtes Ergebnis: 93g: links: 371g, 371g, 371g, 371g, 42g, 127g, 127g, 127g; rechts: 2000g
100g: links: 2000g, 42g, 42g, 42g; rechts: 371g, 371g, 371g, 371g, 371g, 371g
110g: links: 2000g, 42g, 42g, 42g; rechts: 371g, 371g, 371g, 371g, 371g, 127g, 127g, 127g
120g: naechtes Ergebnis: 118g: links: 42g, 42g, 42g, 127g; rechts: 371g
130g: naechtes Ergebnis: 128g: links: 42g, 42g, 42g; rechts: 127g, 127g
140g: naechtes Ergebnis: 141g: links: 2000g, 127g; rechts: 371g, 371g, 371g, 371g, 371g, 371g, 42g
150g: naechtes Ergebnis: 151g: links: 2000g; rechts: 371g, 371g, 371g, 371g, 371g, 42g, 127g, 127g
160g: links: 42g, 42g, 127g; rechts: 371g
170g: links: 42g, 42g; rechts: 127g, 127g
180g: naechtes Ergebnis: 178g: links: 371g, 371g, 371g, 371g, 42g, 42g, 127g, 127g; rechts: 2000g
190g: naechtes Ergebnis: 188g: links: 371g, 371g, 371g, 371g, 371g, 42g, 42g; rechts: 2000g, 127g
200g: naechtes Ergebnis: 201g: links: 127g, 127g; rechts: 371g, 42g, 42g
210g: naechtes Ergebnis: 211g: links: /; rechts: 42g, 42g, 127g
220g: links: 371g, 371g, 371g, 371g, 42g, 127g, 127g; rechts: 2000g
230g: links: 371g, 371g, 371g, 371g, 371g, 42g; rechts: 2000g, 127g
240g: naechtes Ergebnis: 239g: links: 371g, 371g, 371g, 371g, 371g, 371g; rechts: 2000g, 42g, 42g, 127g, 127g, 127g
250g: naechtes Ergebnis: 253g: links: /; rechts: 42g, 42g, 42g, 127g
260g: naechtes Ergebnis: 261g: links: 371g, 371g, 371g, 371g, 127g, 127g, 127g; rechts: 2000g, 42g, 42g, 42g
270g: naechtes Ergebnis: 269g: links: 2000g, 42g, 42g; rechts: 371g, 371g, 371g, 371g, 371g, 371g, 127g
280g: naechtes Ergebnis: 281g: links: 371g, 371g, 371g, 371g, 371g, 371g; rechts: 2000g, 42g, 42g, 42g, 127g, 127g, 127g
290g: naechtes Ergebnis: 287g: links: 42g, 42g; rechts: 371g
300g: naechtes Ergebnis: 297g: links: 42g, 42g; rechts: 127g, 127g, 127g
310g: links: 2000g; rechts: 371g, 371g, 371g, 371g, 371g, 371g, 42g, 42g
320g: links: 2000g; rechts: 371g, 371g, 371g, 371g, 371g, 42g, 42g, 127g, 127g, 127g
330g: naechtes Ergebnis: 329g: links: 42g; rechts: 371g
340g: naechtes Ergebnis: 339g: links: 42g; rechts: 127g, 127g, 127g
350g: naechtes Ergebnis: 352g: links: 2000g; rechts: 371g, 371g, 371g, 371g, 371g, 371g, 42g, 42g, 42g
360g: naechtes Ergebnis: 361g: links: 127g, 127g, 127g; rechts: 371g, 371g
370g: links: 127g; rechts: 371g, 42g, 42g, 42g
380g: links: /; rechts: 42g, 42g, 42g, 127g, 127g
390g: links: 371g, 371g, 371g, 371g, 42g, 42g, 42g; rechts: 2000g
400g: links: 371g, 371g, 371g, 371g, 371g, 42g, 42g, 42g; rechts: 2000g, 127g, 127g, 127g
410g: naechtes Ergebnis: 413g: links: /; rechts: 371g, 42g
420g: naechtes Ergebnis: 422g: links: 371g, 371g, 371g, 42g, 42g, 127g, 127g, 127g; rechts: 2000g
430g: naechtes Ergebnis: 431g: links: 371g, 371g, 371g, 371g, 127g; rechts: 2000g, 42g
440g: naechtes Ergebnis: 441g: links: 371g, 371g, 371g, 371g, 371g; rechts: 2000g, 42g, 127g, 127g
450g: naechtes Ergebnis: 446g: links: 42g, 127g, 127g; rechts: 371g, 371g
460g: naechtes Ergebnis: 456g: links: 42g; rechts: 371g, 127g
470g: naechtes Ergebnis: 473g: links: 371g, 371g, 371g, 371g, 127g; rechts: 2000g, 42g, 42g
480g: links: 2000g; rechts: 371g, 371g, 371g, 371g, 371g, 371g, 127g, 127g
490g: naechtes Ergebnis: 489g: links: 42g, 42g, 42g, 127g; rechts: 371g, 371g
500g: naechtes Ergebnis: 499g: links: 42g, 42g, 42g; rechts: 371g, 127g, 127g
510g: naechtes Ergebnis: 507g: links: /; rechts: 42g, 42g, 42g, 127g, 127g, 127g
520g: naechtes Ergebnis: 522g: links: 2000g; rechts: 371g, 371g, 371g, 371g, 371g, 371g, 42g, 127g, 127g
530g: links: 127g, 127g; rechts: 371g, 371g, 42g
540g: links: /; rechts: 371g, 42g, 127g
550g: naechtes Ergebnis: 549g: links: 371g, 371g, 371g, 42g, 42g, 127g, 127g; rechts: 2000g
560g: naechtes Ergebnis: 559g: links: 371g, 371g, 371g, 371g, 42g, 42g; rechts: 2000g, 127g
570g: naechtes Ergebnis: 568g: links: 371g, 371g, 371g, 371g, 371g; rechts: 2000g, 42g, 127g, 127g, 127g
580g: naechtes Ergebnis: 582g: links: /; rechts: 371g, 42g, 42g, 127g
590g: links: 371g, 371g, 371g, 127g, 127g, 127g; rechts: 2000g, 42g, 42g
600g: links: 371g, 371g, 371g, 371g; rechts: 2000g, 42g, 42g
610g: links: 371g, 371g, 371g, 371g, 371g; rechts: 2000g, 42g, 42g, 127g, 127g, 127g
620g: naechtes Ergebnis: 616g: links: 42g, 42g, 42g; rechts: 371g, 371g
630g: naechtes Ergebnis: 632g: links: 371g, 371g, 371g, 127g, 127g, 127g; rechts: 2000g, 42g, 42g, 42g
640g: naechtes Ergebnis: 642g: links: 371g, 371g, 371g, 371g; rechts: 2000g, 42g, 42g, 42g
650g: naechtes Ergebnis: 649g: links: 2000g; rechts: 371g, 371g, 371g, 371g, 371g, 371g, 42g, 127g, 127g, 127g
660g: naechtes Ergebnis: 658g: links: 42g, 42g; rechts: 371g, 371g
670g: naechtes Ergebnis: 668g: links: 42g, 42g; rechts: 371g, 127g, 127g, 127g
680g: naechtes Ergebnis: 676g: links: 371g, 371g, 371g, 42g, 42g, 127g; rechts: 2000g
690g: links: 42g, 127g, 127g, 127g; rechts: 371g, 371g, 371g
700g: links: 42g; rechts: 371g, 371g
710g: links: 42g; rechts: 371g, 127g, 127g, 127g
720g: naechtes Ergebnis: 718g: links: 371g, 371g, 371g, 42g, 127g; rechts: 2000g
730g: naechtes Ergebnis: 728g: links: 371g, 371g, 371g, 371g, 42g; rechts: 2000g, 127g, 127g
740g: naechtes Ergebnis: 741g: links: 127g; rechts: 371g, 371g, 42g, 42g, 42g
750g: naechtes Ergebnis: 751g: links: /; rechts: 371g, 42g, 42g, 42g, 127g, 127g
760g: links: 371g, 371g, 371g, 127g; rechts: 2000g
770g: links: 371g, 371g, 371g, 371g; rechts: 2000g, 127g, 127g
780g: naechtes Ergebnis: 784g: links: /; rechts: 371g, 371g, 42g
