25
-19.56 38.1309
-10.0127 0.475521 10
14.6104 10.6034 6.02958
18.2787 -11.7624 5.37655
-22.2186 -23.4758 4.61724
4.42874 31.2741 4.42874
-14.0081 27.2722 4.24758
-34.3927 -6.43045 4.22475
35.3454 6.28274 4.10313
-4.32876 -35.5171 4.08059
38.3752 -16.205 3.89683
-35.9127 15.2742 3.75077
32.7111 39.6321 3.51118
-25.4185 42.0503 2.95016
15.4381 -29.7651 2.84887
2.64262 51.5964 2.64262
-55.6188 -14.8389 2.59845
54.1658 13.1243 2.22936
-54.6467 19.5339 2.17135
40.9413 53.175 2.12858
-38.1375 56.3431 2.00652
56.0813 -20.6826 2.79243
29.3989 -45.6519 2.72165
-35.9581 -45.5982 2.59688
-2.61276 -61.8122 2.36781
