24
7.16453 11.8026
77.0103 -6.18943 10
44.5846 -7.98308 10
11.9959 -3.76524 10
30.7382 21.3077 8.6681
68.5755 29.6492 8.5755
7.04359 39.5035 7.04359
48.0769 41.9399 5.32542
4.5111 61.6888 4.5111
64.4459 64.024 4.41231
25.2453 62.0315 4.12003
45.5629 61.4678 3.94862
88.1277 16.1118 3.92223
58.4763 10.1864 2.87158
26.3698 45.0854 2.86334
165.74 -7.76766 10
121.693 -3.12344 10
147.878 35.119 7.878
109.695 35.1699 6.31808
187.562 19.9781 5.29911
124.362 61.8477 4.12574
164.353 66.9369 3.79595
83.8923 70.4279 3.3962
183.519 47.9269 2.9406
